female,age,education,ln_wage
0,28,Professional,3.6492141977215047
1,51,MA,2.340314309804053
1,36,MA,2.667228206581955
0,53,Professional,3.5318747053037716
1,49,MA,4.244365296983058
1,59,MA,3.3586377672433594
1,29,MA,2.8511399335700434
1,57,MA,2.668824154601373
1,42,MA,3.872798692268385
0,42,MA,2.668824154601373
0,55,PhD,4.203198967134183
1,59,PhD,2.667228206581955
1,36,MA,3.8066624897703196
0,35,MA,3.3619713351613183
0,42,MA,3.624340932976365
1,40,MA,3.0416612054423906
0,42,MA,4.0551219824004106
1,27,MA,3.0742892627095375
1,45,MA,3.516124491189194
1,34,PhD,3.150291033370589
1,57,MA,2.995732273553991
0,62,MA,3.3882877430405838
0,35,MA,4.251237906076964
1,43,MA,4.27826553371462
1,39,MA,3.995016739153331
1,44,Professional,3.0742892627095375
1,28,PhD,4.174387269895637
1,58,MA,2.7960610784249234
1,26,MA,3.0782334950657346
0,47,MA,3.2188758248682006
1,39,MA,3.8728004256064557
1,61,MA,3.3312040098416205
0,44,MA,3.8728004256064557
1,28,MA,2.4997405262462684
1,46,MA,3.0288285010431806
1,31,PhD,3.072230244526716
0,54,PhD,4.0551219824004106
1,27,Professional,3.931070445681575
0,28,MA,2.6279963822558337
1,42,Professional,3.349067029887302
0,27,MA,3.5133987310845067
0,25,MA,2.9444389791664403
1,31,MA,3.320903350419832
1,44,Professional,3.872798692268385
0,48,Professional,3.4420193761824107
1,32,PhD,3.931070445681575
0,58,MA,3.6984485241776333
0,34,PhD,1.634715719618369
0,25,MA,3.512965893615312
1,50,PhD,3.512483939956397
0,28,MA,3.921478164198901
1,28,MA,3.9308447596687337
0,40,MA,3.1388277838471086
0,58,MA,3.3131811709918866
1,58,MA,3.4420193761824107
1,30,MA,2.5649493574615367
0,39,MA,3.3619713351613183
1,27,PhD,4.017383521085972
0,27,MA,2.882563575448353
1,50,PhD,3.516124491189194
1,53,MA,2.73335689791366
1,49,Professional,3.5160130560907366
1,26,MA,3.30588148755579
1,47,MA,2.7893229212309465
1,29,PhD,3.39834145553281
0,44,MA,3.711352309965995
1,48,MA,4.172905403242624
0,55,MA,3.9215920754918434
1,40,MA,3.2188758248682006
1,26,MA,2.6026896854443837
1,52,MA,3.3619713351613183
1,45,MA,2.347558458636777
1,36,MA,2.302585092994046
1,43,PhD,3.0044442141560124
1,39,MA,3.005298867423203
1,27,MA,2.682062083040223
0,43,Professional,3.83197929775411
0,49,MA,4.0551219824004106
1,43,MA,3.4061849231731944
1,46,MA,3.710280068654017
0,58,MA,4.27826553371462
1,51,MA,4.27826553371462
0,60,MA,3.921478164198901
0,25,MA,3.292126286607793
0,55,MA,3.2188758248682006
1,57,MA,2.995732273553991
1,53,MA,3.138749780388916
1,39,MA,3.210287943237214
0,28,MA,2.8229698820090032
0,27,MA,2.403108930760345
1,45,MA,3.5806644409012547
